0 CAD = 0 CAD, 2021-11-18 9:13:09 AM
12 USD = 14.95 CAD, 2021-11-18 9:14:36 AM
12 USD = 14.95 CAD, 2021-11-18 9:14:42 AM
6768 EUR = 9743.32 CAD, 2021-11-18 9:26:08 AM
6768 EUR = 9743.32 CAD, 2021-11-18 9:26:17 AM
6768.09098 EUR = 9743.45 CAD, 2021-11-18 9:26:32 AM
0 CAD = 0 CAD, 2021-11-22 11:07:41 AM
0 CAD = 0 CAD, 2021-11-22 11:07:50 AM
43 CAD = 43 CAD, 2021-11-22 11:07:53 AM
43 USD = 54.51 CAD, 2021-11-22 11:10:07 AM
1 USD = 1.27 CAD, 2021-11-22 11:10:11 AM
1 CAD = 0.79 USD, 2021-11-22 11:10:17 AM
100 CAD = 78.88 USD, 2021-11-22 11:10:26 AM
100 CAD = 78.88 USD, 2021/11/22 11:14:40 AM
0 CAD = 0 VND, 2021/11/23 3:05:29 PM
100 CAD = 1788900 VND, 2021/11/23 3:05:36 PM
